#ln_dLdx_f^3*Q20%_A0.950117B0.819635_MCSS1701754869_DATA.csv
#"x","frequencies","std"
0.7,1.0,0.0
0.8,1.0,0.0
0.9,1.0,0.0
1.0,1.1111111111111112,0.33333333333333337
1.1,1.0,0.0
1.2,1.1111111111111112,0.3233808333817773
1.3,1.0909090909090908,0.29424494316824984
1.4,1.2692307692307692,0.45234432086120485
1.5,1.2894736842105263,0.5150646633160448
1.6,1.1621621621621623,0.37368387661182234
1.7,1.5370370370370372,0.8175657140044361
1.8,1.6666666666666667,0.8521681032463466
1.9,1.6323529411764706,0.960478919170184
2.0,1.8026315789473684,0.909501502173658
2.1,2.574712643678161,1.5449255563313464
2.2,2.5764705882352943,1.5459353047222109
2.3,3.316326530612245,1.7968869918141002
2.4,4.575757575757576,2.3737119346698456
2.5,5.99,2.397368085499959
2.6,7.65,2.337118142525365
2.7,11.27,3.1904370999737464
2.8,15.27,4.401228019633621
2.9,23.19,4.396267930548787
3.0,36.31,6.789318705499727
3.1,54.66,8.297766524368427
3.2,93.63,9.895060496137566
3.3,152.51,12.246207411259862
3.4,252.92,15.64807407389875
3.5,411.64,18.806038144890344
3.6,651.73,22.62467366805229
3.7,989.7,31.62485277643697
3.8,1262.2,31.13119842138293
3.9,1386.93,32.46482323184199
4.0,1347.14,31.734702033126343
4.1,1139.05,30.753294970054046
4.2,789.09,27.233778417044647
4.3,492.48,20.05974913486047
4.4,304.45,17.703149865250396
4.5,186.53,12.159258849024301
4.6,115.08,9.832619388566002
4.7,72.16,8.40480862844646
4.8,48.57,6.427929902253355
4.9,33.47,5.96192464348095
5.0,23.95,5.427902100454761
5.1,16.75,4.210076896536152
5.2,12.99,3.292154739419584
5.3,8.94,2.9191807346610386
5.4,7.5,2.7098771823524297
5.5,5.6899999999999995,2.1959328796940065
5.6,4.4646464646464645,1.96038902487221
5.7,3.7346938775510203,1.7204112455388572
5.8,2.590909090909091,1.4593051695404358
5.9,2.3777777777777778,1.241399878333968
6.0,2.103448275862069,1.1313141438437628
6.1,1.7123287671232879,0.8075933392011538
6.2,1.7534246575342465,0.8625031709733694
6.3,1.5555555555555556,0.757282445662753
6.4,1.1956521739130435,0.4010854836782195
6.5,1.3725490196078431,0.5986913833929962
6.6,1.22,0.4184519575964803
6.7,1.15625,0.36890203262847354
6.8,1.16,0.3741657386773941
6.9,1.1363636363636362,0.35125008665710444
7.0,1.1111111111111112,0.32338083338177726
7.1,1.0434782608695652,0.20851441405707477
7.2,1.1764705882352942,0.3929526239966879
7.3,1.1176470588235294,0.3321055820775357
7.4,1.0,0.0
7.5,1.0,0.0
7.6,1.2222222222222223,0.4409585518440984
7.7,1.0,0.0
7.8,1.0,0.0
7.9,1.0,0.0
8.0,1.0,0.0
8.2,1.0,0.0
8.3,1.0,0.0
8.4,1.0,0.0
8.7,1.0,0.0
8.9,1.0,0.0
9.0,1.0,0.0
9.1,1.0,0.0
9.9,1.0,0.0
