
# Curve 0 of 1, 100 points
# Curve title: "f(x)*Q(0.2): f(x) = (3x-2)^2, Q(p) = 1+p(2u-1), u = [0, 1], x = 2 to 5"
# x y type
 2  16.691  i
 2.0303  18.0962  i
 2.06061  17.8231  i
 2.09091  21.8137  i
 2.12121  20.9826  i
 2.15152  17.8059  i
 2.18182  19.6628  i
 2.21212  24.0979  i
 2.24242  22.0729  i
 2.27273  25.8463  i
 2.30303  27.7232  i
 2.33333  25.2068  i
 2.36364  28.7694  i
 2.39394  30.0033  i
 2.42424  22.8036  i
 2.45455  29.7141  i
 2.48485  25.0227  i
 2.51515  34.2965  i
 2.54545  31.2814  i
 2.57576  33.3659  i
 2.60606  33.6576  i
 2.63636  34.9513  i
 2.66667  39.0302  i
 2.69697  43.9933  i
 2.72727  34.8157  i
 2.75758  37.3259  i
 2.78788  40.2827  i
 2.81818  46.9649  i
 2.84848  46.7971  i
 2.87879  40.4401  i
 2.90909  36.5564  i
 2.93939  52.4278  i
 2.9697  56.6774  i
 3  53.466  i
 3.0303  54.5675  i
 3.06061  54.844  i
 3.09091  45.3382  i
 3.12121  48.3018  i
 3.15152  47.0636  i
 3.18182  53.3057  i
 3.21212  57.6562  i
 3.24242  61.5497  i
 3.27273  53.9111  i
 3.30303  69.6253  i
 3.33333  54.0948  i
 3.36364  73.881  i
 3.39394  56.325  i
 3.42424  71.704  i
 3.45455  80.43  i
 3.48485  71.9485  i
 3.51515  71.3767  i
 3.54545  69.7152  i
 3.57576  76.439  i
 3.60606  77.235  i
 3.63636  88.1467  i
 3.66667  85.6039  i
 3.69697  79.4776  i
 3.72727  89.3861  i
 3.75758  82.6085  i
 3.78788  76.1514  i
 3.81818  88.1289  i
 3.84848  81.4216  i
 3.87879  74.299  i
 3.90909  77.0904  i
 3.93939  105.073  i
 3.9697  102.012  i
 4  82.1583  i
 4.0303  93.048  i
 4.06061  103.806  i
 4.09091  106.162  i
 4.12121  126.854  i
 4.15152  122.542  i
 4.18182  108.372  i
 4.21212  117.325  i
 4.24242  134.415  i
 4.27273  125.321  i
 4.30303  121.333  i
 4.33333  102.177  i
 4.36364  147  i
 4.39394  137.257  i
 4.42424  143.979  i
 4.45455  154.503  i
 4.48485  110.6  i
 4.51515  136.836  i
 4.54545  137.672  i
 4.57576  140.252  i
 4.60606  124.032  i
 4.63636  153.459  i
 4.66667  164.565  i
 4.69697  156.954  i
 4.72727  175.155  i
 4.75758  134.92  i
 4.78788  148.861  i
 4.81818  131.759  i
 4.84848  187.39  i
 4.87879  179.724  i
 4.90909  135.733  i
 4.93939  149.813  i
 4.9697  138.785  i
 5  157.063  i

