"names","values","std"
"sample_size",10000.0,0.0
"x_min",1.335,0.27938424357067015
"x_max",7.323,0.6573369905854373
"x_range",5.9879999999999995,0.6925695093292262
"score_25",2.921,0.14305116694258865
"score_50",4.145,0.1459036626952141
"score_75",5.34,0.16996731711975954
"avg",3.9521163,0.003336014271885271
"sample_std",0.33317118523336176,0.005754655839864095
"CV",0.08430166162012578,0.0014360232746096957
"3rd_moment",0.01958453446914548,0.008174384785239925
"4th_moment",0.13089152098704587,0.02642646057851461
"skewness",0.5256625395707532,0.20814467429862607
"kurtosis",10.550976689188314,1.6788713360541956
"kurtosis_normal",7.550976689188314,1.6788713360541956
