#ln_dLdx_f^-1*Q20%_A-0.0896782B0.452324_MCSS1701754465_DATA.csv
#"x","frequencies","std"
0.7,7.55,2.467465063254967
0.8,24.58,5.212998516722744
0.9,46.6,6.372288490492298
1.0,88.5,9.457507306074072
1.1,153.74,13.25630781815574
1.2,242.85,14.37125005985312
1.3,336.97,18.94513876508385
1.4,430.14,19.765299661453927
1.5,499.88,21.413334842824202
1.6,529.81,24.461346544037077
1.7,535.21,20.757520238810958
1.8,515.2,20.56180631140851
1.9,496.69,23.30027745098606
2.0,473.86,20.54412349313083
2.1,447.37,20.667964279888512
2.2,425.06,19.227936325917437
2.3,399.05,17.998526875746517
2.4,368.83,21.753464834900033
2.5,348.75,17.593258006200195
2.6,322.88,15.458827689555038
2.7,299.64,17.194384801058415
2.8,278.89,15.042629659428137
2.9,259.01,15.049745794691963
3.0,240.15,15.876019016049955
3.1,217.67,14.506045413390705
3.2,205.92,14.40656416044752
3.3,187.23,13.236660905197802
3.4,177.07999999999998,11.98625475410493
3.5,159.23,12.365523103215715
3.6,149.28,11.985749113767643
3.7,134.13,11.749622817930641
3.8,126.37,10.300196134251056
3.9,113.89,10.19397227321473
4.0,105.78,9.329631300433055
4.1,95.44,9.37686816403305
4.2,86.16,9.786323171248803
4.3,81.02,8.782420457419986
4.4,70.62,8.647741574736974
4.5,62.07,8.4210594597261
4.6,51.42,7.089870423799198
4.7,40.31,6.898535930166486
4.8,32.52,4.509204951311183
4.9,26.81,4.802556137573558
5.0,21.39,4.485430961355989
5.1,17.11,4.355178039710404
5.2,13.92,3.3444662571858226
5.3,10.27,3.2188052241021157
5.4,8.9,3.2520389874288984
5.5,7.18,2.495976560366501
5.6,5.54,2.231183949875451
5.7,4.575757575757576,1.8685960521035359
5.8,3.622448979591837,1.796418579803974
5.9,2.989795918367347,1.529738862959671
6.0,2.4893617021276597,1.2158866038229927
6.1,2.0813953488372094,1.2292045852699625
6.2,1.8108108108108107,0.8548920572040464
6.3,1.6521739130434783,0.936609764876709
6.4,1.4655172413793103,0.7772086184156896
6.5,1.4166666666666667,0.613095852883295
6.6,1.2083333333333333,0.4104140790860576
6.7,1.1666666666666667,0.3779644730092272
6.8,1.0769230769230769,0.271746488194703
6.9,1.096774193548387,0.30053715351876426
7.0,1.1176470588235294,0.3321055820775357
7.1,1.0769230769230769,0.2773500981126146
7.2,1.0,0.0
7.3,1.0833333333333333,0.28867513459481287
7.4,1.0,0.0
7.5,1.0,0.0
7.6,1.0,0.0
7.7,1.0,0.0
7.9,1.0,0.0
8.0,1.0,0.0
8.1,1.0,0.0
8.2,1.0,0.0
8.5,1.0,0.0
