"names","values","std"
"sample_size",10000.0,0.0
"x_min",1.3,0.2856854242277012
"x_max",7.256,0.6065834108706192
"x_range",5.956,0.7060088419053157
"score_25",2.891,0.1303414319734477
"score_50",4.122,0.11856038822712107
"score_75",5.328,0.14219065306194298
"avg",3.9726855999999997,0.003137993414057257
"sample_std",0.2939409589842996,0.005958412386868464
"CV",0.07399044327560389,0.0014961413293881228
"3rd_moment",0.010783835056082665,0.0073158072477238515
"4th_moment",0.12073558641283064,0.026241650686068284
"skewness",0.4181582304710928,0.2751331230429659
"kurtosis",16.029383925599596,2.6155072663660954
"kurtosis_normal",13.029383925599594,2.615507266366096
